Region,Date,Age,Sex,Deaths,Year,Exposure,Week,t,sn52,cs52,include,pred,lp,up,excess,exc_reg_pi
British Columbia,2014-01-04,0,b,31,2014,2327737,1,209,0.1205366802553233,0.992708874098054,0,29.34566324189441,18,41,1.6543367581055897,0
British Columbia,2014-01-11,0,b,26,2014,2327737,2,210,0.23931566428755918,0.9709418174260517,0,29.374450770478095,20,42,-3.374450770478095,0
British Columbia,2014-01-18,0,b,31,2014,2327737,3,211,0.35460488704253484,0.9350162426854152,0,29.40326653907105,19,40,1.5967334609289487,0
British Columbia,2014-01-25,0,b,31,2014,2327737,4,212,0.4647231720437689,0.8854560256532097,0,29.43211057537618,18,41,1.5678894246238215,0
British Columbia,2014-02-01,0,b,41,2014,2327737,5,213,0.5680647467311541,0.8229838658936575,0,29.46098290712361,19,41,11.539017092876389,0
British Columbia,2014-02-08,0,b,36,2014,2327737,6,214,0.6631226582407946,0.7485107481711016,0,29.489883562070524,19,42,6.510116437929476,0
British Columbia,2014-02-15,0,b,41,2014,2327737,7,215,0.7485107481710991,0.6631226582407975,0,29.51881256800138,19,42,11.48118743199862,0
British Columbia,2014-02-22,0,b,31,2014,2327737,8,216,0.8229838658936554,0.5680647467311574,0,29.547769952728153,19,42,1.452230047271847,0
British Columbia,2014-03-01,0,b,31,2014,2327737,9,217,0.8854560256532079,0.4647231720437722,0,29.57675574408984,19,42,1.4232442559101592,0
British Columbia,2014-03-08,0,b,21,2014,2327737,10,218,0.9350162426854138,0.3546048870425384,0,29.605769969952696,19,41,-8.605769969952696,0
British Columbia,2014-03-15,0,b,16,2014,2327737,11,219,0.9709418174260525,0.239315664287556,0,29.634812658210475,20,41,-13.634812658210475,0
British Columbia,2014-03-22,0,b,26,2014,2327737,12,220,0.992708874098054,0.12053668025532353,0,29.66388383678423,19,41.024999999999864,-3.6638838367842297,0
British Columbia,2014-03-29,0,b,36,2014,2327737,13,221,1,-7.354414386512298e-16,0,29.692983533622467,18,42,6.307016466377533,0
British Columbia,2014-04-05,0,b,36,2014,2327737,14,222,0.9927088740980542,-0.12053668025532148,0,29.72211177670095,18.975000000000044,42,6.277888223299051,0
British Columbia,2014-04-12,0,b,26,2014,2327737,15,223,0.9709418174260521,-0.2393156642875574,1,29.75126859402303,19,41,-3.7512685940230313,0
British Columbia,2014-04-19,0,b,21,2014,2327737,16,224,0.9350162426854158,-0.3546048870425331,1,29.78045572262507,19,43,-8.78045572262507,0
British Columbia,2014-04-26,0,b,36,2014,2327737,17,225,0.8854560256532106,-0.46472317204376723,1,29.809681749008103,20,41,6.190318250991897,0
British Columbia,2014-05-03,0,b,31,2014,2327737,18,226,0.8229838658936566,-0.5680647467311556,1,29.838957005657203,19,41,1.1610429943427967,0
British Columbia,2014-05-10,0,b,21,2014,2327737,19,227,0.7485107481711029,-0.6631226582407933,1,29.868291865536047,20,41,-8.868291865536047,0
British Columbia,2014-05-17,0,b,41,2014,2327737,20,228,0.6631226582407962,-0.7485107481711002,1,29.897696742274967,19.975000000000044,42,11.102303257725033,0
British Columbia,2014-05-24,0,b,31,2014,2327737,21,229,0.5680647467311588,-0.8229838658936544,1,29.92718209039518,20,42,1.0728179096048187,0
British Columbia,2014-05-31,0,b,31,2014,2327737,22,230,0.46472317204376756,-0.8854560256532104,1,29.95675840556937,19,41,1.0432415944306292,0
British Columbia,2014-06-07,0,b,31,2014,2327737,23,231,0.3546048870425368,-0.9350162426854144,1,29.986436224919018,19,41,1.013563775080982,0
British Columbia,2014-06-14,0,b,16,2014,2327737,24,232,0.23931566428755777,-0.970941817426052,1,30.016226127348563,20,41,-14.016226127348563,0
British Columbia,2014-06-21,0,b,31,2014,2327737,25,233,0.12053668025532184,-0.9927088740980542,1,30.046138733917232,20,41,0.9538612660827681,0
British Columbia,2014-06-28,0,b,31,2014,2327737,26,234,1.1021457184401395e-15,-1,1,30.076184708247535,19,42,0.9238152917524651,0
British Columbia,2014-07-05,0,b,41,2014,2327737,27,235,-0.12053668025532317,-0.992708874098054,0,30.106374756972237,20,42,10.893625243027763,0
British Columbia,2014-07-12,0,b,31,2014,2327737,28,236,-0.23931566428755563,-0.9709418174260526,0,30.136719630219126,19,44,0.863280369780874,0
British Columbia,2014-07-19,0,b,31,2014,2327737,29,237,-0.35460488704253473,-0.9350162426854152,0,30.167230122133592,19,41,0.8327698778664079,0
British Columbia,2014-07-26,0,b,26,2014,2327737,30,238,-0.4647231720437656,-0.8854560256532115,0,30.19791707144044,20,43,-4.19791707144044,0
British Columbia,2014-08-02,0,b,36,2014,2327737,31,239,-0.568064746731154,-0.8229838658936576,0,30.228791362044046,20,41,5.771208637955954,0
British Columbia,2014-08-09,0,b,46,2014,2327737,32,240,-0.6631226582407919,-0.748510748171104,0,30.259863923667954,20,41,15.740136076332046,1
British Columbia,2014-08-16,0,b,41,2014,2327737,33,241,-0.7485107481711013,-0.663122658240795,0,30.291145732533515,20,41,10.708854267466485,0
British Columbia,2014-08-23,0,b,36,2014,2327737,34,242,-0.8229838658936574,-0.5680647467311545,0,30.322647812078547,20,41,5.6773521879214535,0
British Columbia,2014-08-30,0,b,26,2014,2327737,35,243,-0.8854560256532096,-0.4647231720437692,0,30.354381233715955,21,42,-4.354381233715955,0
British Columbia,2014-09-06,0,b,41,2014,2327737,36,244,-0.93501624268541494,-0.3546048870425352,1,30.386357117632716,21,41,10.613642882367284,0
British Columbia,2014-09-13,0,b,31,2014,2327737,37,245,-0.9709418174260516,-0.23931566428755954,1,30.418586633628937,20,42,0.5814133663710628,0
British Columbia,2014-09-20,0,b,31,2014,2327737,38,246,-0.992708874098054,-0.12053668025532366,1,30.451081001999224,20,42,0.5489189980007758,0
British Columbia,2014-09-27,0,b,21,2014,2327737,39,247,-1,-2.939732875531509e-15,1,30.483851494453862,20,42,-9.483851494453862,0
British Columbia,2014-10-04,0,b,26,2014,2327737,40,248,-0.9927088740980542,0.12053668025532135,1,30.516909435082848,19,43,-4.516909435082848,0
British Columbia,2014-10-11,0,b,31,2014,2327737,41,249,-0.970941817426053,0.23931566428755385,1,30.55026620136092,20,42,0.44973379863908036,0
British Columbia,2014-10-18,0,b,36,2014,2327737,42,250,-0.9350162426854158,0.354604887042533,1,30.583933225196322,21,42,5.416066774803678,0
British Columbia,2014-10-25,0,b,31,2014,2327737,43,251,-0.885456025653209,0.4647231720437703,1,30.61792199402061,21,42,0.3820780059793911,0
British Columbia,2014-11-01,0,b,31,2014,2327737,44,252,-0.8229838658936566,0.5680647467311555,1,30.652244051923574,20,41,0.3477559480764256,0
British Columbia,2014-11-08,0,b,31,2014,2327737,45,253,-0.7485107481711005,0.6631226582407959,1,30.686911000829788,20,42,0.31308899917021193,0
British Columbia,2014-11-15,0,b,16,2014,2327737,46,254,-0.6631226582407963,0.7485107481711001,0,30.721934501720895,20,42,-14.721934501720895,0
British Columbia,2014-11-22,0,b,26,2014,2327737,47,255,-0.568064746731156,0.8229838658936562,0,30.757326275900752,20,42.024999999999864,-4.757326275900752,0
British Columbia,2014-11-29,0,b,36,2014,2327737,48,256,-0.46472317204377084,0.8854560256532087,0,30.79309810630662,19,43,5.206901893693381,0
British Columbia,2014-12-06,0,b,36,2014,2327737,49,257,-0.3546048870425369,0.9350162426854144,0,30.829261838864994,21,42,5.170738161135006,0
British Columbia,2014-12-13,0,b,26,2014,2327737,50,258,-0.23931566428756135,0.9709418174260511,0,30.8658293838933,20,41,-4.865829383893299,0
British Columbia,2014-12-20,0,b,36,2014,2327737,51,259,-0.12053668025532549,0.9927088740980538,0,30.90281271754793,20,42,5.097187282452069,0
British Columbia,2014-12-27,0,b,36,2014,2327737,52,260,-1.2246063538223773e-15,1,0,30.94022388331862,20,42,5.05977611668138,0
British Columbia,2015-01-03,0,b,41,2015,2339043,1,261,0.12053668025531952,0.9927088740980544,0,31.12853791780895,22,42,9.871462082191051,0
British Columbia,2015-01-10,0,b,31,2015,2339043,2,262,0.23931566428755896,0.9709418174260517,0,31.1670271971825,21,42,-0.1670271971824988,0
British Columbia,2015-01-17,0,b,31,2015,2339043,3,263,0.3546048870425346,0.9350162426854152,0,31.205983114342,21,42,-0.20598311434200056,0
British Columbia,2015-01-24,0,b,31,2015,2339043,4,264,0.4647231720437687,0.8854560256532098,0,31.24541805789224,21,41,-0.24541805789224114,0
British Columbia,2015-01-31,0,b,36,2015,2339043,5,265,0.568064746731154,0.8229838658936577,0,31.28534449233038,21,43,4.714655507669619,0
British Columbia,2015-02-07,0,b,21,2015,2339043,6,266,0.6631226582407944,0.7485107481711017,0,31.325774959841432,21,43,-10.325774959841432,0
British Columbia,2015-02-14,0,b,16,2015,2339043,7,267,0.7485107481711013,0.663122658240795,0,31.366722082143255,21,44,-15.366722082143255,0
British Columbia,2015-02-21,0,b,31,2015,2339043,8,268,0.8229838658936572,0.5680647467311546,0,31.40819856238455,20,43,-0.4081985623845483,0
British Columbia,2015-02-28,0,b,26,2015,2339043,9,269,0.8854560256532078,0.46472317204377245,0,31.45021718709311,20,43,-5.450217187093109,0
British Columbia,2015-03-07,0,b,26,2015,2339043,10,270,0.9350162426854137,0.3546048870425386,0,31.492790828178634,21.975000000000044,43,-5.492790828178634,0
British Columbia,2015-03-14,0,b,31,2015,2339043,11,271,0.9709418174260516,0.23931566428755968,0,31.535932444988063,21,43,-0.5359324449880631,0
British Columbia,2015-03-21,0,b,26,2015,2339043,12,272,0.9927088740980539,0.12053668025532378,0,31.57965508641538,21,43,-5.579655086415379,0
British Columbia,2015-03-28,0,b,26,2015,2339043,13,273,1,-4.905201678867543e-16,0,31.623971893066077,21,43,-5.623971893066077,0
British Columbia,2015-04-04,0,b,31,2015,2339043,14,274,0.9927088740980538,-0.12053668025532475,0,31.668896099477777,21,43,-0.6688960994777773,0
British Columbia,2015-04-11,0,b,36,2015,2339043,15,275,0.9709418174260513,-0.23931566428756063,1,31.71444103639718,21,43,4.285558963602821,0
British Columbia,2015-04-18,0,b,36,2015,2339043,16,276,0.9350162426854158,-0.3546048870425329,1,31.76062013311373,22,42,4.239379866886271,0
British Columbia,2015-04-25,0,b,41,2015,2339043,17,277,0.8854560256532107,-0.464723172043767,1,31.807446919852467,21,44,9.192553080147533,0
British Columbia,2015-05-02,0,b,31,2015,2339043,18,278,0.8229838658936567,-0.5680647467311554,1,31.854935030224528,20,43,-0.854935030224528,0
British Columbia,2015-05-09,0,b,26,2015,2339043,19,279,0.7485107481711006,-0.6631226582407957,1,31.90309820373865,20.975000000000044,43,-5.903098203738651,0
British Columbia,2015-05-16,0,b,26,2015,2339043,20,280,0.6631226582407991,-0.7485107481710976,1,31.95195028837271,21,43.024999999999864,-5.951950288372711,0
British Columbia,2015-05-23,0,b,31,2015,2339043,21,281,0.568064746731159,-0.8229838658936541,1,32.001505243207376,23,43,-1.0015052432073759,0
British Columbia,2015-05-30,0,b,36,2015,2339043,22,282,0.46472317204377095,-0.8854560256532087,1,32.051777141121725,21,44,3.9482228588782746,0
British Columbia,2015-06-06,0,b,41,2015,2339043,23,283,0.354604887042537,-0.9350162426854143,1,32.10278017155351,21.975000000000044,44,8.897219828446488,0
British Columbia,2015-06-13,0,b,31,2015,2339043,24,284,0.23931566428755802,-0.970941817426052,1,32.154528643322976,22,43,-1.1545286433229762,0
British Columbia,2015-06-20,0,b,31,2015,2339043,25,285,0.12053668025532208,-0.9927088740980541,1,32.20703698752337,21,44,-1.2070369875233666,0
British Columbia,2015-06-27,0,b,26,2015,2339043,26,286,-2.205646689595886e-15,-1,1,32.26031976047739,22,44,-6.260319760477387,0
British Columbia,2015-07-04,0,b,51,2015,2339043,27,287,-0.12053668025531941,-0.9927088740980544,0,32.314391646762324,22,44,18.685608353237676,1
British Columbia,2015-07-11,0,b,36,2015,2339043,28,288,-0.23931566428755538,-0.9709418174260526,0,32.369267462303476,21,45,3.630732537696524,0
British Columbia,2015-07-18,0,b,36,2015,2339043,29,289,-0.35460488704253446,-0.9350162426854153,0,32.424962157538815,23,44,3.5750378424611853,0
British Columbia,2015-07-25,0,b,31,2015,2339043,30,290,-0.46472317204376856,-0.8854560256532099,0,32.48149082065375,22,44.024999999999864,-1.4814908206537467,0
British Columbia,2015-08-01,0,b,41,2015,2339043,31,291,-0.5680647467311509,-0.8229838658936597,0,32.53886868088985,21,44,8.461131319110152,0
British Columbia,2015-08-08,0,b,21,2015,2339043,32,292,-0.6631226582407918,-0.7485107481711042,0,32.597111111927205,21,45,-11.597111111927205,0
British Columbia,2015-08-15,0,b,41,2015,2339043,33,293,-0.7485107481710989,-0.6631226582407977,0,32.65623363534157,23,44,8.343766364658428,0
British Columbia,2015-08-22,0,b,31,2015,2339043,34,294,-0.8229838658936551,-0.5680647467311576,0,32.71625192413925,22,45,-1.7162519241392502,0
British Columbia,2015-08-29,0,b,31,2015,2339043,35,295,-0.8854560256532095,-0.4647231720437694,0,32.777181806369,22,44,-1.7771818063690006,0
British Columbia,2015-09-05,0,b,41,2015,2339043,36,296,-0.93501624268541494,-0.3546048870425354,1,32.839039268814716,22,46,8.160960731185284,0
British Columbia,2015-09-12,0,b,41,2015,2339043,37,297,-0.9709418174260523,-0.23931566428755635,1,32.90184046076781,23,45,8.098159539232192,0
British Columbia,2015-09-19,0,b,31,2015,2339043,38,298,-0.9927088740980534,-0.12053668025532743,1,32.96560169788374,22,46,-1.9656016978837414,0
British Columbia,2015-09-26,0,b,31,2015,2339043,39,299,-1,-3.1846541462959843e-15,1,33.03033946612134,22,44,-2.0303394661213403,0
British Columbia,2015-10-03,0,b,36,2015,2339043,40,300,-0.9927088740980542,0.1205366802553211,1,33.09607042576873,22,45,2.9039295742312703,0
British Columbia,2015-10-10,0,b,36,2015,2339043,41,301,-0.9709418174260522,0.23931566428755705,1,33.16281141555698,22,46,2.8371885844430196,0
British Columbia,2015-10-17,0,b,31,2015,2339043,42,302,-0.9350162426854146,0.35460488704253607,1,33.2305794568622,23,46,-2.230579456862202,0
British Columbia,2015-10-24,0,b,31,2015,2339043,43,303,-0.8854560256532124,0.4647231720437638,1,33.299391757999274,23,45,-2.299391757999274,0
British Columbia,2015-10-31,0,b,41,2015,2339043,44,304,-0.8229838658936588,0.5680647467311524,1,33.369265718608304,23,46,7.630734281391696,0
British Columbia,2015-11-07,0,b,36,2015,2339043,45,305,-0.7485107481711031,0.663122658240793,1,33.44021893413554,23,45,2.5597810658644633,0
British Columbia,2015-11-14,0,b,21,2015,2339043,46,306,-0.6631226582407965,0.7485107481711,0,33.51226920041126,22,45,-12.51226920041126,0
British Columbia,2015-11-21,0,b,31,2015,2339043,47,307,-0.5680647467311563,0.8229838658936561,0,33.58543451832611,22,46,-2.5854345183261103,0
British Columbia,2015-11-28,0,b,21,2015,2339043,48,308,-0.4647231720437679,0.8854560256532102,0,33.65973309860826,23,46,-12.659733098608257,0
British Columbia,2015-12-05,0,b,31,2015,2339043,49,309,-0.3546048870425338,0.9350162426854155,0,33.73518336670319,23,45,-2.7351833667031897,0
British Columbia,2015-12-12,0,b,21,2015,2339043,50,310,-0.23931566428756157,0.9709418174260511,0,33.81180396775866,23,46,-12.811803967758657,0
British Columbia,2015-12-19,0,b,41,2015,2339043,51,311,-0.12053668025532573,0.9927088740980536,0,33.889613771716725,23,46,7.110386228283275,0
British Columbia,2015-12-26,0,b,46,2015,2339043,52,312,-1.4695276245868527e-15,1,0,33.968631878515026,23,45.024999999999864,12.031368121484974,1
British Columbia,2016-01-02,0,b,41,2016,2364366,1,313,0.12053668025532281,0.992708874098054,0,34.41749834908068,24,46,6.582501650919319,0
British Columbia,2016-01-09,0,b,41,2016,2364366,2,314,0.23931566428755183,0.9709418174260535,0,34.49987356894399,23,47,6.50012643105601,0
British Columbia,2016-01-16,0,b,36,2016,2364366,3,315,0.3546048870425377,0.9350162426854141,0,34.583529542359614,23,47,1.4164704576403864,0
British Columbia,2016-01-23,0,b,51,2016,2364366,4,316,0.46472317204377156,0.8854560256532084,0,34.66848656086455,22.975000000000044,46,16.33151343913545,1
British Columbia,2016-01-30,0,b,41,2016,2364366,5,317,0.5680647467311538,0.8229838658936578,0,34.754765176516344,23,47,6.245234823483656,0
British Columbia,2016-02-06,0,b,31,2016,2364366,6,318,0.6631226582407943,0.7485107481711019,0,34.84238620786691,23.975000000000044,47,-3.842386207866909,0
British Columbia,2016-02-13,0,b,26,2016,2364366,7,319,0.7485107481711011,0.6631226582407952,0,34.931370746066364,23,47,-8.931370746066364,0
British Columbia,2016-02-20,0,b,31,2016,2364366,8,320,0.8229838658936571,0.5680647467311548,0,35.021739830011256,23.975000000000044,47,-4.021739830011256,0
British Columbia,2016-02-27,0,b,41,2016,2364366,9,321,0.8854560256532077,0.46472317204377267,0,35.113494863143934,24,47,5.886505136856066,0
British Columbia,2016-03-05,0,b,46,2016,2364366,10,322,0.9350162426854136,0.35460488704253884,0,35.206606372105966,23.975000000000044,47,10.793393627894034,0
British Columbia,2016-03-12,0,b,56,2016,2364366,11,323,0.9709418174260515,0.2393156642875599,0,35.301041956612416,24,49,20.698958043387584,1
British Columbia,2016-03-19,0,b,36,2016,2364366,12,324,0.9927088740980539,0.12053668025532402,0,35.39676891694962,25,48,0.6032310830503818,0
British Columbia,2016-03-26,0,b,36,2016,2364366,13,325,1,6.859828460478723e-15,0,35.49375423992603,25,50,0.5062457600739734,0
British Columbia,2016-04-02,0,b,36,2016,2364366,14,326,0.9927088740980546,-0.12053668025531745,0,35.59196458512943,24,49,0.40803541487056805,0
British Columbia,2016-04-09,0,b,36,2016,2364366,15,327,0.9709418174260513,-0.23931566428756038,1,35.69136627149577,25,49,0.3086337285042333,0
British Columbia,2016-04-16,0,b,36,2016,2364366,16,328,0.9350162426854159,-0.3546048870425326,1,35.79192526419263,25,49,0.20807473580737224,0
British Columbia,2016-04-23,0,b,41,2016,2364366,17,329,0.8854560256532108,-0.4647231720437668,1,35.89360716182347,25,49,5.106392838176532,0
British Columbia,2016-04-30,0,b,31,2016,2364366,18,330,0.8229838658936608,-0.5680647467311494,1,35.99637718395803,24,49,-4.996377183958032,0
British Columbia,2016-05-07,0,b,36,2016,2364366,19,331,0.7485107481711007,-0.6631226582407955,1,36.10020015899381,24,48,-0.10020015899380752,0
British Columbia,2016-05-14,0,b,31,2016,2364366,20,332,0.663122658240794,-0.7485107481711022,1,36.20504051235577,25,48,-5.205040512355772,0
British Columbia,2016-05-21,0,b,16,2016,2364366,21,333,0.5680647467311593,-0.822983865893654,1,36.310862255040135,25,50,-20.310862255040135,0
British Columbia,2016-05-28,0,b,31,2016,2364366,22,334,0.46472317204376484,-0.8854560256532118,1,36.41762897250886,25,50,-5.417628972508858,0
British Columbia,2016-06-04,0,b,41,2016,2364366,23,335,0.35460488704253723,-0.9350162426854142,1,36.52530381394344,26,49,4.474696186056562,0
British Columbia,2016-06-11,0,b,41,2016,2364366,24,336,0.23931566428755824,-0.9709418174260519,1,36.633849481863805,25,49.024999999999864,4.366150518136195,0
British Columbia,2016-06-18,0,b,36,2016,2364366,25,337,0.12053668025532938,-0.9927088740980532,1,36.74322822212145,25,50,-0.7432282221214521,0
British Columbia,2016-06-25,0,b,36,2016,2364366,26,338,-1.9607254188314105e-15,-1,1,36.85340181427464,26,49.024999999999864,-0.8534018142746405,0
British Columbia,2016-07-02,0,b,41,2016,2364366,27,339,-0.12053668025531916,-0.9927088740980544,0,36.964331562353706,26,49,4.035668437646294,0
British Columbia,2016-07-09,0,b,46,2016,2364366,28,340,-0.23931566428755516,-0.9709418174260527,0,37.07597828602629,26,49.024999999999864,8.924021713973708,0
British Columbia,2016-07-16,0,b,26,2016,2364366,29,341,-0.35460488704252763,-0.9350162426854178,0,37.18830231217112,26,49,-11.188302312171118,0
British Columbia,2016-07-23,0,b,36,2016,2364366,30,342,-0.46472317204376834,-0.88545602565321,0,37.30126346686915,25.975000000000044,50,-1.3012634668691518,0
British Columbia,2016-07-30,0,b,46,2016,2364366,31,343,-0.5680647467311566,-0.8229838658936558,0,37.41482106782252,24.975000000000044,49,8.585178932177477,0
British Columbia,2016-08-06,0,b,41,2016,2364366,32,344,-0.6631226582407915,-0.7485107481711043,0,37.52893391721118,25,50,3.4710660827888233,0
British Columbia,2016-08-13,0,b,41,2016,2364366,33,345,-0.7485107481711034,-0.6631226582407926,0,37.64356029499689,26,51,3.356439705003112,0
British Columbia,2016-08-20,0,b,41,2016,2364366,34,346,-0.822983865893655,-0.5680647467311578,0,37.758657952685155,26,52,3.241342047314845,0
British Columbia,2016-08-27,0,b,31,2016,2364366,35,347,-0.8854560256532094,-0.4647231720437696,0,37.87418410755582,26,51,-6.87418410755582,0
British Columbia,2016-09-03,0,b,31,2016,2364366,36,348,-0.9350162426854123,-0.3546048870425423,1,37.99009543737263,26,51,-6.990095437372631,0
British Columbia,2016-09-10,0,b,31,2016,2364366,37,349,-0.9709418174260523,-0.23931566428755657,1,38.10634807558385,25,51,-7.106348075583853,0
British Columbia,2016-09-17,0,b,36,2016,2364366,38,350,-0.9927088740980534,-0.12053668025532767,1,38.22289760702341,26,52,-2.2228976070234125,0
British Columbia,2016-09-24,0,b,36,2016,2364366,39,351,-1,-3.4295754170604598e-15,1,38.33969906412484,27,50,-2.3396990641248365,0
British Columbia,2016-10-01,0,b,41,2016,2364366,40,352,-0.9927088740980551,0.1205366802553138,1,38.456706923659716,27,49,2.5432930763402837,0
British Columbia,2016-10-08,0,b,41,2016,2364366,41,353,-0.9709418174260522,0.23931566428755682,1,38.57387510401182,28,52,2.426124895988181,0
British Columbia,2016-10-15,0,b,36,2016,2364366,42,354,-0.9350162426854147,0.35460488704253584,1,38.69115696299724,28,51,-2.6911569629972405,0
British Columbia,2016-10-22,0,b,31,2016,2364366,43,355,-0.8854560256532125,0.46472317204376357,1,38.80850529624515,27,52,-7.808505296245151,0
British Columbia,2016-10-29,0,b,41,2016,2364366,44,356,-0.8229838658936549,0.568064746731158,1,38.92587233614789,28,53,2.07412766385211,0
British Columbia,2016-11-05,0,b,36,2016,2364366,45,357,-0.7485107481711032,0.6631226582407929,1,39.04320975139412,28,51,-3.043209751394123,0
British Columbia,2016-11-12,0,b,41,2016,2364366,46,358,-0.6631226582407966,0.7485107481710997,0,39.160468647096536,28,52,1.8395313529034638,0
British Columbia,2016-11-19,0,b,46,2016,2364366,47,359,-0.5680647467311623,0.8229838658936519,0,39.27759956552507,29,53,6.7224004344749275,0
British Columbia,2016-11-26,0,b,46,2016,2364366,48,360,-0.4647231720437681,0.8854560256532101,0,39.39455248745859,28,51,6.60544751254141,0
British Columbia,2016-12-03,0,b,46,2016,2364366,49,361,-0.3546048870425407,0.935016242685413,0,39.51127683416646,27,53,6.488723165833541,0
British Columbia,2016-12-10,0,b,41,2016,2364366,50,362,-0.23931566428756182,0.970941817426051,0,39.62772147003098,28,52,1.372278529969023,0
British Columbia,2016-12-17,0,b,51,2016,2364366,51,363,-0.12053668025531891,0.9927088740980545,0,39.74383470582402,28,52,11.256165294175979,0
British Columbia,2016-12-24,0,b,46,2016,2364366,52,364,-1.7144488953513282e-15,1,0,39.85956430264683,28,53,6.140435697353169,0
British Columbia,2016-12-31,0,b,46,2016,2364366,53,365,0.12053668025532256,0.9927088740980541,0,39.974857476547534,27,53,6.025142523452466,0
British Columbia,2017-01-07,0,b,41,2017,2397018,1,366,0.23931566428755158,0.9709418174260536,0,40.64330091041935,29,53,0.3566990895806512,0
British Columbia,2017-01-14,0,b,51,2017,2397018,2,367,0.35460488704253745,0.9350162426854142,0,40.759138666884276,28,53,10.240861333115724,0
British Columbia,2017-01-21,0,b,46,2017,2397018,3,368,0.46472317204376506,0.8854560256532117,0,40.87437017654619,29,55,5.1256298234538065,0
British Columbia,2017-01-28,0,b,41,2017,2397018,4,369,0.5680647467311536,0.8229838658936579,0,40.988939777091005,29,54,0.011060222908994888,0
British Columbia,2017-02-04,0,b,31,2017,2397018,5,370,0.6631226582407941,0.7485107481711021,0,41.10279128770017,29,54,-10.102791287700171,0
British Columbia,2017-02-11,0,b,51,2017,2397018,6,371,0.748510748171101,0.6631226582407954,0,41.215868018076165,29,53,9.784131981923835,0
British Columbia,2017-02-18,0,b,41,2017,2397018,7,372,0.8229838658936529,0.5680647467311608,0,41.3281127782284,30,54,-0.3281127782284017,0
British Columbia,2017-02-25,0,b,41,2017,2397018,8,373,0.8854560256532076,0.4647231720437729,0,41.43946788902929,29,56,-0.439467889029288,0
British Columbia,2017-03-04,0,b,41,2017,2397018,9,374,0.935016242685416,0.3546048870425324,0,41.54987519354971,29,55,-0.5498751935497097,0
British Columbia,2017-03-11,0,b,46,2017,2397018,10,375,0.9709418174260515,0.23931566428756015,0,41.65927606918247,30,56,4.340723930817532,0
British Columbia,2017-03-18,0,b,41,2017,2397018,11,376,0.9927088740980539,0.12053668025532427,0,41.76761144056251,28,55,-0.7676114405625114,0
