Date,Year,Week,t
2013-11-02,2013,44,200
2013-11-09,2013,45,201
2013-11-16,2013,46,202
2013-11-23,2013,47,203
2013-11-30,2013,48,204
2013-12-07,2013,49,205
2013-12-14,2013,50,206
2013-12-21,2013,51,207
2013-12-28,2013,52,208
2014-01-04,2014,1,209
2014-01-11,2014,2,210
2014-01-18,2014,3,211
2014-01-25,2014,4,212
2014-02-01,2014,5,213
2014-02-08,2014,6,214
2014-02-15,2014,7,215
2014-02-22,2014,8,216
2014-03-01,2014,9,217
2014-03-08,2014,10,218
2014-03-15,2014,11,219
2014-03-22,2014,12,220
2014-03-29,2014,13,221
2014-04-05,2014,14,222
2014-04-12,2014,15,223
2014-04-19,2014,16,224
2014-04-26,2014,17,225
2014-05-03,2014,18,226
2014-05-10,2014,19,227
2014-05-17,2014,20,228
2014-05-24,2014,21,229
2014-05-31,2014,22,230
2014-06-07,2014,23,231
2014-06-14,2014,24,232
2014-06-21,2014,25,233
2014-06-28,2014,26,234
2014-07-05,2014,27,235
2014-07-12,2014,28,236
2014-07-19,2014,29,237
2014-07-26,2014,30,238
2014-08-02,2014,31,239
2014-08-09,2014,32,240
2014-08-16,2014,33,241
2014-08-23,2014,34,242
2014-08-30,2014,35,243
2014-09-06,2014,36,244
2014-09-13,2014,37,245
2014-09-20,2014,38,246
2014-09-27,2014,39,247
2014-10-04,2014,40,248
2014-10-11,2014,41,249
2014-10-18,2014,42,250
2014-10-25,2014,43,251
2014-11-01,2014,44,252
2014-11-08,2014,45,253
2014-11-15,2014,46,254
2014-11-22,2014,47,255
2014-11-29,2014,48,256
2014-12-06,2014,49,257
2014-12-13,2014,50,258
2014-12-20,2014,51,259
2014-12-27,2014,52,260
2015-01-03,2014,53,261
2015-01-10,2015,1,262
2015-01-17,2015,2,263
2015-01-24,2015,3,264
2015-01-31,2015,4,265
2015-02-07,2015,5,266
2015-02-14,2015,6,267
2015-02-21,2015,7,268
2015-02-28,2015,8,269
2015-03-07,2015,9,270
2015-03-14,2015,10,271
2015-03-21,2015,11,272
2015-03-28,2015,12,273
2015-04-04,2015,13,274
2015-04-11,2015,14,275
2015-04-18,2015,15,276
2015-04-25,2015,16,277
2015-05-02,2015,17,278
2015-05-09,2015,18,279
2015-05-16,2015,19,280
2015-05-23,2015,20,281
2015-05-30,2015,21,282
2015-06-06,2015,22,283
2015-06-13,2015,23,284
2015-06-20,2015,24,285
2015-06-27,2015,25,286
2015-07-04,2015,26,287
2015-07-11,2015,27,288
2015-07-18,2015,28,289
2015-07-25,2015,29,290
2015-08-01,2015,30,291
2015-08-08,2015,31,292
2015-08-15,2015,32,293
2015-08-22,2015,33,294
2015-08-29,2015,34,295
2015-09-05,2015,35,296
2015-09-12,2015,36,297
2015-09-19,2015,37,298
2015-09-26,2015,38,299
2015-10-03,2015,39,300
2015-10-10,2015,40,301
2015-10-17,2015,41,302
2015-10-24,2015,42,303
2015-10-31,2015,43,304
2015-11-07,2015,44,305
2015-11-14,2015,45,306
2015-11-21,2015,46,307
2015-11-28,2015,47,308
2015-12-05,2015,48,309
2015-12-12,2015,49,310
2015-12-19,2015,50,311
2015-12-26,2015,51,312
2016-01-02,2015,52,313
2016-01-09,2016,1,314
2016-01-16,2016,2,315
2016-01-23,2016,3,316
2016-01-30,2016,4,317
2016-02-06,2016,5,318
2016-02-13,2016,6,319
2016-02-20,2016,7,320
2016-02-27,2016,8,321
2016-03-05,2016,9,322
2016-03-12,2016,10,323
2016-03-19,2016,11,324
2016-03-26,2016,12,325
2016-04-02,2016,13,326
2016-04-09,2016,14,327
2016-04-16,2016,15,328
2016-04-23,2016,16,329
2016-04-30,2016,17,330
2016-05-07,2016,18,331
2016-05-14,2016,19,332
2016-05-21,2016,20,333
2016-05-28,2016,21,334
2016-06-04,2016,22,335
2016-06-11,2016,23,336
2016-06-18,2016,24,337
2016-06-25,2016,25,338
2016-07-02,2016,26,339
2016-07-09,2016,27,340
2016-07-16,2016,28,341
2016-07-23,2016,29,342
2016-07-30,2016,30,343
2016-08-06,2016,31,344
2016-08-13,2016,32,345
2016-08-20,2016,33,346
2016-08-27,2016,34,347
2016-09-03,2016,35,348
2016-09-10,2016,36,349
2016-09-17,2016,37,350
2016-09-24,2016,38,351
2016-10-01,2016,39,352
2016-10-08,2016,40,353
2016-10-15,2016,41,354
2016-10-22,2016,42,355
2016-10-29,2016,43,356
2016-11-05,2016,44,357
2016-11-12,2016,45,358
2016-11-19,2016,46,359
2016-11-26,2016,47,360
2016-12-03,2016,48,361
2016-12-10,2016,49,362
2016-12-17,2016,50,363
2016-12-24,2016,51,364
2016-12-31,2016,52,365
2017-01-07,2017,1,366
2017-01-14,2017,2,367
2017-01-21,2017,3,368
2017-01-28,2017,4,369
2017-02-04,2017,5,370
2017-02-11,2017,6,371
2017-02-18,2017,7,372
2017-02-25,2017,8,373
2017-03-04,2017,9,374
2017-03-11,2017,10,375
2017-03-18,2017,11,376
2017-03-25,2017,12,377
2017-04-01,2017,13,378
2017-04-08,2017,14,379
2017-04-15,2017,15,380
2017-04-22,2017,16,381
2017-04-29,2017,17,382
2017-05-06,2017,18,383
2017-05-13,2017,19,384
2017-05-20,2017,20,385
2017-05-27,2017,21,386
2017-06-03,2017,22,387
2017-06-10,2017,23,388
2017-06-17,2017,24,389
2017-06-24,2017,25,390
2017-07-01,2017,26,391
2017-07-08,2017,27,392
2017-07-15,2017,28,393
2017-07-22,2017,29,394
2017-07-29,2017,30,395
2017-08-05,2017,31,396
2017-08-12,2017,32,397
2017-08-19,2017,33,398
2017-08-26,2017,34,399
2017-09-02,2017,35,400
2017-09-09,2017,36,401
2017-09-16,2017,37,402
2017-09-23,2017,38,403
2017-09-30,2017,39,404
2017-10-07,2017,40,405
2017-10-14,2017,41,406
2017-10-21,2017,42,407
2017-10-28,2017,43,408
2017-11-04,2017,44,409
2017-11-11,2017,45,410
2017-11-18,2017,46,411
2017-11-25,2017,47,412
2017-12-02,2017,48,413
2017-12-09,2017,49,414
2017-12-16,2017,50,415
2017-12-23,2017,51,416
2017-12-30,2017,52,417
2018-01-06,2018,1,418
2018-01-13,2018,2,419
2018-01-20,2018,3,420
2018-01-27,2018,4,421
2018-02-03,2018,5,422
2018-02-10,2018,6,423
2018-02-17,2018,7,424
2018-02-24,2018,8,425
2018-03-03,2018,9,426
2018-03-10,2018,10,427
2018-03-17,2018,11,428
2018-03-24,2018,12,429
2018-03-31,2018,13,430
2018-04-07,2018,14,431
2018-04-14,2018,15,432
2018-04-21,2018,16,433
2018-04-28,2018,17,434
2018-05-05,2018,18,435
2018-05-12,2018,19,436
2018-05-19,2018,20,437
2018-05-26,2018,21,438
2018-06-02,2018,22,439
2018-06-09,2018,23,440
2018-06-16,2018,24,441
2018-06-23,2018,25,442
2018-06-30,2018,26,443
2018-07-07,2018,27,444
2018-07-14,2018,28,445
2018-07-21,2018,29,446
2018-07-28,2018,30,447
2018-08-04,2018,31,448
2018-08-11,2018,32,449
2018-08-18,2018,33,450
2018-08-25,2018,34,451
2018-09-01,2018,35,452
2018-09-08,2018,36,453
2018-09-15,2018,37,454
2018-09-22,2018,38,455
2018-09-29,2018,39,456
2018-10-06,2018,40,457
2018-10-13,2018,41,458
2018-10-20,2018,42,459
2018-10-27,2018,43,460
2018-11-03,2018,44,461
2018-11-10,2018,45,462
2018-11-17,2018,46,463
2018-11-24,2018,47,464
2018-12-01,2018,48,465
2018-12-08,2018,49,466
2018-12-15,2018,50,467
2018-12-22,2018,51,468
2018-12-29,2018,52,469
2019-01-05,2019,1,470
2019-01-12,2019,2,471
2019-01-19,2019,3,472
2019-01-26,2019,4,473
2019-02-02,2019,5,474
2019-02-09,2019,6,475
2019-02-16,2019,7,476
2019-02-23,2019,8,477
2019-03-02,2019,9,478
2019-03-09,2019,10,479
2019-03-16,2019,11,480
2019-03-23,2019,12,481
2019-03-30,2019,13,482
2019-04-06,2019,14,483
2019-04-13,2019,15,484
2019-04-20,2019,16,485
2019-04-27,2019,17,486
2019-05-04,2019,18,487
2019-05-11,2019,19,488
2019-05-18,2019,20,489
2019-05-25,2019,21,490
2019-06-01,2019,22,491
2019-06-08,2019,23,492
2019-06-15,2019,24,493
2019-06-22,2019,25,494
2019-06-29,2019,26,495
2019-07-06,2019,27,496
2019-07-13,2019,28,497
2019-07-20,2019,29,498
2019-07-27,2019,30,499
2019-08-03,2019,31,500
2019-08-10,2019,32,501
2019-08-17,2019,33,502
2019-08-24,2019,34,503
2019-08-31,2019,35,504
2019-09-07,2019,36,505
2019-09-14,2019,37,506
2019-09-21,2019,38,507
2019-09-28,2019,39,508
2019-10-05,2019,40,509
2019-10-12,2019,41,510
2019-10-19,2019,42,511
2019-10-26,2019,43,512
2019-11-02,2019,44,513
2019-11-09,2019,45,514
2019-11-16,2019,46,515
2019-11-23,2019,47,516
2019-11-30,2019,48,517
2019-12-07,2019,49,518
2019-12-14,2019,50,519
2019-12-21,2019,51,520
2019-12-28,2019,52,521
2020-01-04,2020,1,522
2020-01-11,2020,2,523
2020-01-18,2020,3,524
2020-01-25,2020,4,525
2020-02-01,2020,5,526
2020-02-08,2020,6,527
2020-02-15,2020,7,528
2020-02-22,2020,8,529
2020-02-29,2020,9,530
2020-03-07,2020,10,531
2020-03-14,2020,11,532
2020-03-21,2020,12,533
2020-03-28,2020,13,534
2020-04-04,2020,14,535
2020-04-11,2020,15,536
2020-04-18,2020,16,537
2020-04-25,2020,17,538
2020-05-02,2020,18,539
2020-05-09,2020,19,540
2020-05-16,2020,20,541
2020-05-23,2020,21,542
2020-05-30,2020,22,543
2020-06-06,2020,23,544
2020-06-13,2020,24,545
2020-06-20,2020,25,546
2020-06-27,2020,26,547
2020-07-04,2020,27,548
2020-07-11,2020,28,549
2020-07-18,2020,29,550
2020-07-25,2020,30,551
2020-08-01,2020,31,552
2020-08-08,2020,32,553
2020-08-15,2020,33,554
2020-08-22,2020,34,555
2020-08-29,2020,35,556
2020-09-05,2020,36,557
2020-09-12,2020,37,558
2020-09-19,2020,38,559
2020-09-26,2020,39,560
2020-10-03,2020,40,561
2020-10-10,2020,41,562
2020-10-17,2020,42,563
2020-10-24,2020,43,564
2020-10-31,2020,44,565
2020-11-07,2020,45,566
2020-11-14,2020,46,567
2020-11-21,2020,47,568
2020-11-28,2020,48,569
2020-12-05,2020,49,570
2020-12-12,2020,50,571
2020-12-19,2020,51,572
2020-12-26,2020,52,573
2021-01-02,2020,53,574
