Region,Sex,Age,Exposure,Deaths,Baseline,Baseline2,Excess,Excess_pos,Excess_epi,lp,up,epi_lp,epi_up,p_score,p_score_pos,p_score_epi,Excess_pos_rate,Excess_epi_rate
British Columbia,b,0,52936.2261741515,1015,854.5674751870998,837.689602312906,160.43252481290017,177.310397687094,108.00668254154624,28,987,28,312,18.77353508893782,23.181411112794482,12.638754185899614,334.95095986588063,204.03170068493733
British Columbia,b,45,27066.69963811099,2555,2337.7674374331364,2305.1702586937377,217.23256256686375,249.82974130626232,71.2691439303569,7,2548,7,383,9.292308511465297,12.251889810764037,3.0485985384675507,923.0151612370653,263.3093243108484
British Columbia,b,65,16552.97925179157,7030,6874.608907991547,6711.000433891737,155.39109200845246,318.99956610826274,133.6184703488459,64.97500000000014,6965.025,64.97500000000014,725.0249999999999,2.260362648816505,7.191298003362023,1.9436519536917718,1927.142910384163,807.217047253799
British Columbia,b,85,2319.854248090942,6180,6216.867749152549,6004.005328089235,-36.8677491525487,175.9946719107649,0,0,6180,0,0,-0.5930277213565316,6.476628046195132,0,7586.4538496586465,0
British Columbia,b,All,98875.759312145,16780,16220.681334246878,16126.653063254733,559.3186657531232,653.3469367452673,346.21338527786963,124,16656,124,3281,3.4481823187798355,4.634409910140236,2.134394839179188,660.7756454063621,350.14991306908115
British Columbia,f,0,25994.80377454312,295,274.38240833173666,242.1364148447795,20.61759166826335,52.86358515522052,12.54863683423257,5,290,5,20,7.514181318554525,35.149433717657374,4.57341157930975,203.36212426804377,48.273635542967746
British Columbia,f,45,13916.372072869715,900,894.843994721032,849.7056015279115,5.156005278967946,50.29439847208851,0,0,900,0,0,0.5761904096563075,11.231277220440216,0,361.40452561008044,0
British Columbia,f,65,8658.698249600626,2870,2884.864777860298,2751.781959038312,-14.864777860297934,118.21804096168829,36.10430356197034,11.975000000000136,2858.0249999999996,11.975000000000136,163.02499999999986,-0.5152677510009029,9.132295491591137,1.251507656062456,1365.3096291597988,416.97149526645785
British Columbia,f,85,1402.1520438569742,3495,3542.8798586022185,3398.146720356512,-47.87985860221875,96.85327964348772,0,0,3495,0,0,-1.3514389568126228,7.109358063969906,0,6907.47341330176,0
British Columbia,f,All,49972.02614087044,7560,7573.125175678878,7358.66745564256,-13.125175678877952,201.3325443574401,96.5058212045156,13,7547,13,817,-0.17331254105015237,5.65034725240825,1.274319636422283,402.8904967548974,193.1196884682383
British Columbia,m,0,26941.422399608382,720,578.8242908297667,561.5101652136399,141.17570917023332,158.48983478636018,92.58495279949116,28,692,28,222,24.390080272521473,31.30913228179906,15.995346820494882,588.2756761523622,343.65280134888854
British Columbia,m,45,13150.327565241272,1655,1442.4555128827037,1416.185932697377,212.54448711729623,238.81406730262296,117.28013727360617,29,1626,29,416,14.734907608521851,18.718138725121424,8.130589555529898,1816.031320268039,891.8419460789637
British Columbia,m,65,7894.281002190943,4160,3936.410679575416,3856.9909832169524,223.5893204245839,303.00901678304774,186.54337113432817,76.97500000000014,4083.0249999999996,76.97500000000014,823.0249999999999,5.6800303277477315,9.91520889744326,4.738920461277907,3838.3358370312885,2363.0191411042474
British Columbia,m,85,917.7022042339679,2685,2670.1335771500426,2547.0282047791716,14.86642284995743,137.97179522082828,22.801472925773055,3,2682,3,142,0.5567670088559851,10.250266059159529,0.8539450281026761,15034.4844530473,2484.6265837190717
British Columbia,m,All,48903.733171274565,9220,8645.899224377006,8611.050179562111,574.1007756229943,608.9498204378881,288.21054012284765,84,9136,84,2211,6.64015113667209,7.476426821676263,3.333494095214995,1245.2010939638806,589.3426154470736
Alberta,b,0,52005.72014718473,1095,807.7455875510213,801.6940174682213,287.25441244897866,293.3059825317787,174.5667153120931,83,1012,83,347,35.56248611891479,37.34062448912376,21.611596275178236,563.9879261390373,335.66829729122225
Alberta,b,45,21206.929161173946,2095,1968.1373583391528,1930.119050189604,126.86264166084712,164.8809498103961,30.40834342753665,11,2084,11,109,6.445822550104041,10.512266481179644,1.5450315649308877,777.4862100839348,143.38871600141348
Alberta,b,65,10291.982428434661,4670,4585.2558564438405,4495.230140994538,84.74414355615912,174.769859005462,0,0,4670,0,0,1.8481878920031392,5.8905899397662775,0,1698.1165700653385,0
Alberta,b,85,1373.3869959853803,3780,3895.4348399157407,3724.0969310753835,-115.4348399157405,55.90306892461638,0,0,3780,0,0,-2.9633364350727387,6.1019082470378905,0,4070.452762988843,0
Alberta,b,All,84878.01873277871,11645,11289.211793194538,11210.457139690534,355.78820680546175,434.5428603094668,0,0,11645,0,0,3.1515770394168863,4.57873847085275,0,511.9615971215553,0
Alberta,f,0,25468.097379882816,365,283.1747822422207,260.52600438702945,81.82521775777926,104.47399561297055,48.88273741036392,18,347,18,82,28.895658402162393,48.79465824045424,17.262390747969512,410.21515684754013,191.93713877101897
Alberta,f,45,10508.158691027564,775,731.1157256135633,706.7654065656687,43.8842743864367,68.2345934343312,11.733182258273239,0.9750000000001364,774.0249999999999,0.9750000000001364,44.024999999999864,6.002370465989948,13.099808171443561,1.6048324290147908,649.3487150379029,111.65783276847225
Alberta,f,65,5369.046253675919,2030,2045.100485383997,1947.838820116433,-15.100485383996912,82.1611798835669,0,0,2030,0,0,-0.7383737616766362,9.211380495045574,0,1530.275136432569,0
Alberta,f,85,853.025399576176,2190,2244.4635260433147,2126.8940035952864,-54.463526043314886,63.10599640471358,0,0,2190,0,0,-2.426572114509984,8.494805972809605,0,7397.903560206726,0
Alberta,f,All,42198.327724162475,5360,5370.222478961107,5230.709420753257,-10.222478961107242,129.2905792467427,0,0,5360,0,0,-0.19035485030938215,5.138951829136085,0,306.3879215590617,0
Alberta,m,0,26537.62276730192,730,525.1566697438546,525.1566697438546,204.84333025614532,204.84333025614532,123.43843638978052,51,679,51,239,39.00613703641196,39.00613703641196,23.505068773093505,771.8978148583117,465.1450413330693
Alberta,m,45,10698.770470146383,1320,1236.9623406457993,1185.7209736312807,83.03765935420074,134.27902636871926,23.662506998659715,9.975000000000136,1310.0249999999999,9.975000000000136,70.02499999999986,6.713030512379881,15.646209986071181,1.9129529025358805,1255.0883930392613,221.17033975714372
Alberta,m,65,4922.936174758742,2640,2468.7601965120116,2431.9007617258535,171.23980348798833,208.09923827414656,68.72787320123733,3,2637,3,402,6.936267189090484,10.072724879055684,2.783902353024792,4227.136629175267,1396.074837484674
Alberta,m,85,520.361596409204,1590,1654.2714700946688,1554.0341754888257,-64.2714700946687,35.96582451117429,0,0,1590,0,0,-3.885182768157802,8.764486731713884,0,6911.698472631201,0
Alberta,m,All,42679.691008616246,6285,5919.440773432225,5897.072633709974,365.55922656777494,387.92736629002576,77.21065619076785,10.975000000000136,6274.025,10.975000000000136,599.0249999999999,6.1755703040139664,6.9576132345202435,1.3043572720130348,908.9273073971186,180.90725205855037
Ontario,b,0,150355.97366696017,2005,2089.942148988118,1960.6469596890897,-84.94214898811785,44.35304031091039,0,0,2005,0,0,-4.064330155226747,8.856680125496673,0,29.498688498504738,0
Ontario,b,45,72263.14824422688,6040,6034.292998978858,5747.073805689195,5.707001021141934,292.9261943108054,232.18461273341728,54.975000000000136,5985.025,54.975000000000136,1615.0249999999999,0.09457613380901009,10.094622188880997,3.847751721249004,405.36041042774156,321.30431398962276
Ontario,b,65,41233.378689618265,17990,18543.45464502244,17507.9040353285,-553.4546450224423,482.0959646714999,413.2654200336731,170.95000000000027,17819.05,170.95000000000027,3814.0499999999997,-2.9846361188744397,8.668350999086115,2.2286323015037857,1169.1886039716703,1002.2594149863469
Ontario,b,85,6156.116929308613,16500,16760.267978091953,15571.590830651021,-260.2679780919532,928.409169348979,900.1611642796116,543.9500000000003,15956.05,543.9500000000003,5206.049999999999,-1.5528867344612896,13.595825499233216,5.370804127095408,15081.084066628468,14622.223304337198
Ontario,b,All,270008.61753011396,42540,43358.0527829957,40908.622970282435,-818.0527829957005,1631.3770297175677,1599.3403587402431,1012.9250000000011,41527.075,1012.9250000000011,13097.074999999999,-1.8867378272036328,9.975419718711343,3.6886812393186474,604.1944307705737,592.3293757695972
Ontario,f,0,73999.06270471134,665,727.3062694667675,631.6961330600682,-62.30626946676746,33.30386693993178,0,0,665,0,0,-8.56671695026746,20.40759735573254,0,45.00579564477566,0
Ontario,f,45,36700.23888436842,2385,2260.7762021207836,2184.821416183516,124.22379787921615,200.17858381648418,86.27387214741088,22.92500000000041,2362.075,22.92500000000041,387.0749999999996,5.494741043482532,12.638715810288371,3.816117316985168,545.4421821263551,235.07714055822444
Ontario,f,65,22012.478840762786,7910,8077.937108359114,7612.659746830535,-167.93710835911384,297.34025316946486,258.5359342383736,96.95000000000027,7813.049999999999,96.95000000000027,1718.0499999999997,-2.0789603348772223,10.01775516127006,3.2005192757794454,1350.7804156015775,1174.497139139168
Ontario,f,85,3894.5159804128325,9845,9995.487493569599,9226.664879745522,-150.48749356959888,618.3351202544777,579.7983468154468,310.97500000000014,9534.025,310.97500000000014,3164.0249999999996,-1.5055543180501396,15.034226908182813,5.800600993082616,15877.072359295647,14887.558549804337
Ontario,f,All,136606.29641025537,20810,20992.523977945704,19807.535857941428,-182.52397794570493,1002.4641420585726,958.00471497809,570.9500000000003,20239.05,570.9500000000003,6449.049999999999,-0.8694713324489234,11.043535539963866,4.5635518434303135,733.834507194293,701.2888425735625
Ontario,m,0,76356.91096224886,1340,1363.282002184673,1288.1828439255187,-23.282002184673118,51.81715607448123,0,0,1340,0,0,-1.7077906219962857,9.852352477143667,0,67.86177625768521,0
Ontario,m,45,35562.909359858466,3655,3773.6866972168514,3487.6737557073106,-118.68669721685126,167.32624429268947,105.78453962125636,23,3632,23,622,-3.1451126375802385,12.998325461502102,2.803214683913069,470.50774895700323,297.4574958163023
Ontario,m,65,19220.899848855475,10080,10467.461310272281,9884.529383405832,-387.4613102722806,195.47061659416744,0,0,10080,0,0,-3.7015786233864034,7.874958060900705,0,1016.9691228363946,0
Ontario,m,85,2261.600948895781,6655,6766.406661122295,6314.402269620728,-111.40666112229519,340.5977303792721,276.9375710251729,122,6533,122,1458,-1.6464671235680184,12.552290589627702,4.0928307282559695,15060.02774475169,12245.20051428112
Ontario,m,All,133402.32111985856,21730,22366.456168766363,21088.010272070624,-636.4561687663614,641.9897279293773,577.9700396151873,233.82500000000095,21496.175,233.82500000000095,5741.174999999999,-2.8455834217274933,9.106765407680872,2.5840930510140137,481.24329662342683,433.25336078365234
Quebec,b,0,87503.89766174782,645,704.0713993391591,603.5260469451129,-59.07139933915913,41.4739530548871,17.562241807151317,4.975000000000136,640.0249999999999,4.975000000000136,45.024999999999864,-8.389972862781182,23.531595060030487,2.494383641152753,47.39669221959397,20.07023947097687
Quebec,b,45,44853.25886084722,3510,3354.682101729458,3255.820281216046,155.31789827054203,254.1797187839539,132.75898949042752,32.95000000000027,3477.0499999999997,32.95000000000027,712.0499999999997,4.6298842501490745,10.843397632669838,3.957423847165309,566.6917527052409,295.9851588538953
Quebec,b,65,28348.603769671685,14255,12866.198016169463,12707.408438446328,1388.801983830537,1547.5915615536724,1455.679425488421,1024.9250000000004,13230.074999999999,1024.9250000000004,5700.075,10.79419096523444,13.42823871242025,11.313982760556085,5459.145621871294,5134.924588581527
Quebec,b,85,4032.6071154179704,13265,11434.773697909837,10836.317490925469,1830.226302090162,2428.682509074532,2419.627397598332,1946.9000000000005,11318.099999999999,1946.9000000000005,5638.0999999999995,16.005793821916292,27.935123888663128,21.16025608832657,60226.11277426178,60001.565447506866
Quebec,b,All,164738.3674076847,31680,28271.94567816478,27589.831412802367,3408.054321835221,4090.1685871976333,3999.4244383400346,3276.925,28403.075,3276.925,13513.074999999999,12.054544673475931,17.297252676743756,14.146265290219851,2482.8269525553374,2427.743154964318
Quebec,f,0,42692.38132868381,280,238.2438542026859,210.5898155349175,41.75614579731411,69.41018446508251,36.33080399287785,8,272,8,72,17.526641321790425,46.09160366388034,15.249419177868662,162.5821336380872,85.09903374368156
Quebec,f,45,22308.128078397443,1480,1381.4114439064867,1337.0098023098249,98.58855609351332,142.99019769017514,17.652746180262035,2,1478,2,78,7.136798853693804,14.015741617084476,1.277877511304082,640.9780201533035,79.13145432115594
Quebec,f,65,14783.781433631502,6385,5826.251685141365,5696.36246982989,558.7483148586355,688.6375301701097,604.1202923064077,340.97500000000014,6044.025,340.97500000000014,2369.0249999999996,9.590184994644257,14.369288292604532,10.368935723238494,4658.060816588738,4086.371913833219
Quebec,f,85,2601.9472766706954,8255,7023.408321501343,6653.435624235495,1231.5916784986566,1601.5643757645046,1601.5643757645046,1234.9500000000003,7020.049999999999,1234.9500000000003,3535.0499999999997,17.535527227262058,29.631865165252734,22.8032360137955,61552.52991189645,61552.52991189645
Quebec,f,All,82386.23811738346,16405,14443.284113010826,14035.79820094465,1961.7158869891737,2369.2017990553495,2350.0861050970066,1823.9250000000004,14581.074999999999,1823.9250000000004,7056.075,13.5822010537203,19.78289849546744,16.271133952007478,2875.725185655065,2852.522652810797
Quebec,m,0,44811.516333064006,365,465.58971057905194,356.4337011926586,-100.58971057905191,8.566298807341408,0,0,365,0,0,-21.604796732717514,33.02782755946634,0,19.1162886425711,0
Quebec,m,45,22545.130782449778,2030,1994.830915099236,1914.1249378431983,35.16908490076399,115.87506215680169,24.293457680064378,6,2024,6,109,1.7630108213464446,10.27002133070496,1.2178203925045983,513.9693500780419,107.75478711782672
Quebec,m,65,13564.82233604018,7870,7041.688709686611,6945.6939915205585,828.3112903133888,924.3060084794419,789.7159953757712,493.9500000000003,7376.049999999999,493.9500000000003,2841.0499999999997,11.762963750072576,14.689687278061747,11.214866602799844,6813.992734896841,5821.793871030557
Quebec,m,85,1430.6598387472748,5010,4409.659347663014,4164.137669242745,600.3406523369862,845.8623307572557,809.8082726619464,539.9500000000003,4470.049999999999,539.9500000000003,2080.0499999999997,13.614218355781805,26.20912409401668,18.36441794741175,59123.930640138475,56603.83067515454
Quebec,m,All,82352.12929030124,15275,13839.394896259586,13514.400399684484,1435.6051037404136,1760.599600315515,1659.6413909737885,1194.9500000000003,14080.05,1194.9500000000003,6130.049999999999,10.373322782547522,15.43238349619498,11.99215286083315,2137.8920199005274,2015.2986999563198
Quebec_isq,b,0,97627.0595643321,1325,1225.8782313204345,1174.2789260406646,99.1217686795655,150.7210739593353,87.18179467158981,22,1303,22,288,8.085776070335982,17.2293289739323,7.1117825934214896,154.38452682272634,89.30085066644939
Quebec_isq,b,50,44862.989438595825,6180,5440.449144362384,5413.682356889979,739.5508556376165,766.317643110021,537.8073818253326,240.95000000000027,5939.049999999999,240.95000000000027,2529.0499999999997,13.593562516873604,14.649629924686458,9.8853489400343,1708.1287999295798,1198.7774077370211
Quebec_isq,b,70,22248.31840475678,25635,22571.308571841226,21887.535099596884,3063.691428158774,3747.4649004031166,3717.0683866565014,3072.925,22562.075,3072.925,10842.074999999999,13.573388615939063,20.245488368076092,16.46811204953229,16843.81188828138,16707.18801768756
Quebec_isq,b,All,164738.3674076847,33120,29162.775143470146,28725.719137515993,3957.224856529853,4394.280862484007,4373.213143948419,3550.850000000001,29569.149999999998,3550.850000000001,15424.15,13.569438563585813,16.818854369875112,14.99587444073418,2667.430138851202,2654.6415463289445
Canada,b,0,403940.8873171504,5980,5595.438048358551,5555.890077715192,384.561951641449,424.10992228480745,165.35203023451797,30,5950,30,1150,6.872776506823475,8.345339566524345,2.9551221692647456,104.99306596606586,40.93470986132022
Canada,b,45,195181.3928396587,17340,16775.895654669795,16609.952645780744,564.104345330203,730.047354219254,618.2409715005933,210,17130,210,5750,3.362588543361489,5.394298118820373,3.6852933770394447,374.03532355104517,316.752003101278
Canada,b,65,114452.4712858926,53090,52398.70552966845,51051.88848332418,691.2944703315502,2038.111516675816,1709.9788368586815,1099.9,51990.1,1099.9,14965.1,1.3192968477821143,6.630368951240162,3.263399008760781,1780.7492435744664,1494.051476256287
Canada,b,85,16350.149633030007,46570,45532.881895733495,43281.17823661427,1037.1181042665053,3288.8217633857257,3288.8217633857257,2456.925000000001,44113.075,2456.925000000001,19423.074999999997,2.2777343780730153,12.801235197931526,7.222959818174601,20114.933729669126,20114.933729669126
Canada,b,All,729924.9010757318,122995,120145.13221355254,117012.37448345273,2849.867786447455,5982.625516547273,5921.946306901017,4500.725000000002,118494.275,4500.725000000002,50554.274999999994,2.372021016533532,7.790101933138804,4.928993957387329,819.6220608079458,811.3089850988106
Canada,f,0,198181.35938971446,2060,1908.1806314750834,1856.9637085103554,151.81936852491657,203.0362914896445,75.39606542084312,15.975000000000136,2044.0249999999999,15.975000000000136,319.02499999999986,7.956236743035983,13.69187848363136,3.951201693235906,102.44974205186627,38.043974293556154
Canada,f,45,98439.372402693,6725,6524.623980472672,6430.5524525397295,200.3760195273282,294.44754746027024,110.28126092041867,42,6683,42,663,3.0710738293429074,6.041768234699152,1.6902316708284681,299.11562850660255,112.02962618380296
Canada,f,65,60250.53066449208,23070,22987.511654546994,22251.614259910475,82.48834545300701,818.3857400895259,736.7928246951248,350.9250000000004,22719.075,350.9250000000004,6684.075,0.3588398200406795,6.985035407189799,3.205187389429276,1358.3046175090897,1222.8818843073605
Canada,f,85,10340.30331311487,27865,27114.296827979408,25706.88569456503,750.7031720205939,2158.1143054349714,2158.1143054349714,1514.9250000000004,26350.075,1514.9250000000004,11710.074999999999,2.7686617756796705,13.86992372865754,7.95932241623909,20870.899431912992,20870.899431912992
Canada,f,All,367211.5657700144,59730,58446.49449619815,56584.81723079889,1283.5055038018481,3145.1827692011043,3034.304553284237,2182.8500000000013,57547.15,2182.8500000000013,22202.149999999998,2.1960350485782154,8.848416023291762,5.19159374645064,856.50427774678,826.3096362233399
Canada,m,0,205759.52792743593,3870,3687.847613901323,3631.185158769737,182.15238609867723,238.81484123026323,107.59271126347582,25,3845,25,585,4.939260109665455,8.13721370413285,2.9174934142589315,116.06502193885511,52.29051230202081
Canada,m,45,96742.02043696573,10570,10248.660653786037,10084.48603764222,321.33934621396236,485.51396235778,271.31287730373725,89,10481,89,2046,3.1354277116713236,6.44245602677731,2.647300817824516,501.864608744787,280.44987698031053
Canada,m,65,54201.94062140053,29895,29407.170646229024,28689.377063556654,487.8293537709769,1205.6229364433473,877.828234311625,500.97500000000014,29394.025,500.97500000000014,7119.025,1.658878916437101,6.704281221773134,2.9850822606226846,2224.3169204302103,1619.5513006503545
Canada,m,85,6009.846319915139,18645,18426.82749403747,17524.826619228086,218.17250596253075,1120.1733807719147,1003.1780424548207,649.9500000000003,17995.05,649.9500000000003,5475.049999999999,1.1839938591335253,11.538911622455572,5.444116969019364,18638.968804575554,16692.24118311541
Canada,m,All,362713.33530571737,62985,61700.700504678054,60247.02738534371,1284.2994953219445,2737.972614656292,2703.4192748527626,1711.975,61273.025,1711.975,26238.025,2.0814990507677766,6.957431620950549,4.381504995470498,754.8585475492812,745.3321981046417
