Region,Sex,Age,Exposure,Deaths,Baseline,Baseline2,Excess,Excess_pos,Excess_epi,lp,up,epi_lp,epi_up,p_score,p_score_pos,p_score_epi,Excess_pos_rate,Excess_epi_rate
British Columbia,b,0,2223718.1534904507,2015,1442.7050719526883,1430.921903636195,572.2949280473117,584.0780963638049,470.70993804937007,185.97500000000014,1829.0249999999999,185.97500000000014,1064.0249999999999,39.66818576943905,41.641773961676165,32.62689978709705,26.265832989986116,21.16769777278303
British Columbia,b,45,1135736.3260502815,5015,4297.822337821524,4270.571526915445,717.1776621784755,744.4284730845548,437.9319898706896,115.95000000000027,4899.049999999999,115.95000000000027,1849.0499999999997,16.687001132345493,18.069695803643484,10.189625243854739,65.5458891302203,38.55930111821583
British Columbia,b,65,700681.7766317409,13720,12868.223821785446,12754.750080769276,851.776178214554,965.2499192307248,446.75802444014397,156,13564,156,2769,6.6192210363370085,8.457426867762141,3.471792460462164,137.75867325546756,63.76047434653746
British Columbia,b,85,97986.26932685802,11930,11729.74083348879,11419.350433018346,200.2591665112111,510.6495669816543,231.04063031815247,49.92500000000041,11880.074999999999,49.92500000000041,1640.0749999999996,1.7072769923395459,7.189900793990089,1.9696993616305836,521.1440036340738,235.78878133165568
British Columbia,b,All,4158122.525499331,32700,30159.570842193683,30127.60651437487,2540.429157806317,2572.393485625131,2020.1696843902996,804.8000000000011,31895.199999999997,804.8000000000011,17020.199999999997,8.423293458314784,8.644423220946273,6.698270658294825,61.86430221452465,48.58369785887216
British Columbia,f,0,1092037.6281706735,580,514.1193976151459,467.87754489954216,65.88060238485409,112.12245510045787,20.36688501269635,5.975000000000136,574.0249999999999,5.975000000000136,39.024999999999864,12.814261179495578,33.84738368883762,3.961508767646693,10.267270303522395,1.8650350946985161
British Columbia,f,45,584124.2259889576,1700,1670.6371377749858,1588.17350452082,29.362862225014098,111.82649547918005,19.959098620534988,7,1693,7,53,1.757584670009238,12.233558120714694,1.194699804597743,19.1443002196752,3.416927039234339
British Columbia,f,65,366604.2855259502,5645,5486.180115991328,5311.863294109681,158.8198840086716,333.13670589031915,164.95987181963469,48,5597,48,782,2.894908308710775,9.55321136247389,3.006825666164392,90.87092514818352,44.99671125856437
British Columbia,f,85,59163.76966142469,6775,6820.853227691631,6513.212535915743,-45.85322769163085,261.7874640842572,86.33775682509571,9.975000000000136,6765.025,9.975000000000136,555.0249999999999,-0.6722506138304496,8.74266197702216,1.2657911546106515,442.4793511001463,145.93011452647295
British Columbia,f,All,2101929.909347006,14735,14414.061992726738,14111.294762789941,320.9380072732611,623.7052372100579,301.85784839540486,74.97500000000014,14660.025,74.97500000000014,2305.0249999999996,2.2265618632360873,6.56546746929183,2.094190024628184,29.672979790454605,14.360985447377796
British Columbia,m,0,1131680.525319777,1460,932.8824986971459,929.3707469063497,527.1175013028541,530.6292530936503,412.9589676632322,175.97500000000014,1284.0249999999999,175.97500000000014,764.0249999999999,56.50416874997879,57.47340409222825,44.26698627533116,46.88860868606989,36.49077265392927
British Columbia,m,45,551612.1000613238,3300,2616.128350222274,2592.415563789612,683.8716497777258,707.5844362103878,466.91364278358634,150.95000000000027,3149.0499999999997,150.95000000000027,1494.0499999999997,26.140600086368938,28.209104776937632,17.8475051785558,128.27572784058293,84.64528655765139
British Columbia,m,65,334077.49110579066,8075,7382.440828847918,7338.764017370747,692.5591711520817,736.2359826292536,292.74961656757813,93.95000000000027,7981.049999999999,93.95000000000027,1461.0499999999997,9.381167925461863,10.627304437918728,3.9654854451879773,220.37880498692843,87.62925499667219
British Columbia,m,85,38822.49966543333,5165,4909.533496210307,4782.811290103534,255.4665037896929,382.18870989646615,183.69588857416943,49.975000000000136,5115.025,49.975000000000136,845.0249999999999,5.203478171335196,10.640413872407306,3.74161595426461,984.4515762511764,473.1686268458599
British Columbia,m,All,2056192.6161523247,17980,15743.071984183347,15736.336821369609,2236.9280158166525,2243.6631786303915,1862.8614325340654,764.825000000001,17215.175,764.825000000001,11550.175,14.20896771649165,14.300649299703206,11.83289661894218,109.11736386004893,90.59761317594689
Alberta,b,0,2187213.7141195727,2185,1546.4791350976896,1546.4791350976896,638.5208649023106,638.5208649023106,475.0259277468125,184,2001,184,1096,41.28868281575462,41.28868281575462,30.71660761312538,29.193345889353882,21.718313335376394
Alberta,b,45,891558.2571795428,4140,3728.2968658307495,3689.6432605195164,411.7031341692506,450.35673948048384,208.86318079243438,55,4085,55,865,11.042659664321386,13.25359418956027,5.602107029261338,50.51343934665512,23.426756368470638
Alberta,b,65,436618.7264871257,9185,8785.895012909668,8672.525908474001,399.1049870903315,512.4740915259993,99.95226274779776,10.950000000000273,9174.05,10.950000000000273,709.0499999999997,4.542564946472738,7.216388887926528,1.1376446292714837,117.37336500639312,22.892344437898267
Alberta,b,85,57987.4331677857,7420,7115.8455812282855,6943.142446507323,304.1544187717144,476.85755349267674,281.4819862743166,109.97500000000014,7310.025,109.97500000000014,1260.0249999999999,4.274325732616768,9.355427937970573,3.9557067822954206,822.346373071726,485.418944928728
Alberta,b,All,3573378.1309540267,22905,21148.34764859079,21110.596768983025,1756.6523514092119,1794.4032310169753,1107.001261158261,448.9500000000003,22456.05,448.9500000000003,7786.049999999999,8.306333811976385,8.67883618201002,5.234457459999353,50.215878791923494,30.9791245311817
Alberta,f,0,1070878.1628844363,700,498.2958642828841,477.8543963644085,201.7041357171159,222.1456036355915,133.75598214590084,44,656,44,231,40.478789846549446,50.765897185357666,26.842683580846895,20.744246295697813,12.490308121105565
