Region,Date,Age,Sex,Deaths,Year,Exposure,Week,t,sn52,cs52,include,pred,lp,up,excess,exc_reg_pi
Quebec,2014-07-05,65,f,266,2014,728946,27,235,-0.12053668025532317,-0.992708874098054,0,216.71202279893467,186,250,49.28797720106533,1
Quebec,2014-07-12,65,f,211,2014,728946,28,236,-0.23931566428755563,-0.9709418174260526,0,215.5869247898924,187,247,-4.586924789892407,0
Quebec,2014-07-19,65,f,211,2014,728946,29,237,-0.35460488704253473,-0.9350162426854152,0,214.8051882131541,183,245.04999999999973,-3.8051882131541106,0
Quebec,2014-07-26,65,f,261,2014,728946,30,238,-0.4647231720437656,-0.8854560256532115,0,214.37496819970502,185,246.02499999999986,46.62503180029498,1
Quebec,2014-08-02,65,f,216,2014,728946,31,239,-0.568064746731154,-0.8229838658936576,0,214.30092222270696,185,244,1.6990777772930414,0
Quebec,2014-08-09,65,f,231,2014,728946,32,240,-0.6631226582407919,-0.748510748171104,0,214.5842560747549,186,245,16.415743925245096,0
Quebec,2014-08-16,65,f,231,2014,728946,33,241,-0.7485107481711013,-0.663122658240795,0,215.22273256947864,189,246,15.777267430521363,0
Quebec,2014-08-23,65,f,236,2014,728946,34,242,-0.8229838658936574,-0.5680647467311545,0,216.2106417116825,189,243,19.789358288317487,0
Quebec,2014-08-30,65,f,181,2014,728946,35,243,-0.8854560256532096,-0.4647231720437692,0,217.53873508849998,190,245,-36.538735088499976,0
Quebec,2014-09-06,65,f,236,2014,728946,36,244,-0.93501624268541494,-0.3546048870425352,1,219.19413119933273,191,252,16.80586880066727,0
Quebec,2014-09-13,65,f,211,2014,728946,37,245,-0.9709418174260516,-0.23931566428755954,1,221.16020228334108,190,250,-10.160202283341079,0
Quebec,2014-09-20,65,f,236,2014,728946,38,246,-0.992708874098054,-0.12053668025532366,1,223.41645681340387,194,252,12.583543186596131,0
Quebec,2014-09-27,65,f,236,2014,728946,39,247,-1,-2.939732875531509e-15,1,225.93843506190885,197,258.02499999999986,10.061564938091152,0
Quebec,2014-10-04,65,f,246,2014,728946,40,248,-0.9927088740980542,0.12053668025532135,1,228.6976378224062,199,262.02499999999986,17.302362177593807,0
Quebec,2014-10-11,65,f,231,2014,728946,41,249,-0.970941817426053,0.23931566428755385,1,231.6615102685049,202,262,-0.6615102685049123,0
Quebec,2014-10-18,65,f,256,2014,728946,42,250,-0.9350162426854158,0.354604887042533,1,234.79350379546094,202,267,21.206496204539064,0
Quebec,2014-10-25,65,f,231,2014,728946,43,251,-0.885456025653209,0.4647231720437703,1,238.05323826074292,207,275,-7.053238260742916,0
Quebec,2014-11-01,65,f,206,2014,728946,44,252,-0.8229838658936566,0.5680647467311555,1,241.39678507928724,212,275,-35.39678507928724,0
Quebec,2014-11-08,65,f,251,2014,728946,45,253,-0.7485107481711005,0.6631226582407959,1,244.77708795794325,210,280,6.222912042056748,0
Quebec,2014-11-15,65,f,231,2014,728946,46,254,-0.6631226582407963,0.7485107481711001,0,248.1445325928564,218,281,-17.144532592856393,0
Quebec,2014-11-22,65,f,241,2014,728946,47,255,-0.568064746731156,0.8229838658936562,0,251.44766946476472,219,284,-10.447669464764715,0
Quebec,2014-11-29,65,f,266,2014,728946,48,256,-0.46472317204377084,0.8854560256532087,0,254.6340851846031,222,290.02499999999986,11.365914815396906,0
Quebec,2014-12-06,65,f,261,2014,728946,49,257,-0.3546048870425369,0.9350162426854144,0,257.6514080899895,224,291,3.348591910010498,0
Quebec,2014-12-13,65,f,266,2014,728946,50,258,-0.23931566428756135,0.9709418174260511,0,260.44842358292874,228,295,5.55157641707126,0
Quebec,2014-12-20,65,f,316,2014,728946,51,259,-0.12053668025532549,0.9927088740980538,0,262.9762647969405,232,299,53.023735203059516,1
Quebec,2014-12-27,65,f,311,2014,728946,52,260,-1.2246063538223773e-15,1,0,265.18963545241263,233,301,45.81036454758737,1
Quebec,2015-01-03,65,f,361,2015,747089,1,261,0.12053668025531952,0.9927088740980544,0,273.6946694811193,240,308,87.30533051888068,1
Quebec,2015-01-10,65,f,291,2015,747089,2,262,0.23931566428755896,0.9709418174260517,0,275.2000043213668,241,309,15.799995678633195,0
Quebec,2015-01-17,65,f,336,2015,747089,3,263,0.3546048870425346,0.9350162426854152,0,276.2776589558355,246,314.02499999999986,59.72234104416452,1
Quebec,2015-01-24,65,f,326,2015,747089,4,264,0.4647231720437687,0.8854560256532098,0,276.9071959397029,245.97500000000002,314,49.09280406029711,1
Quebec,2015-01-31,65,f,276,2015,747089,5,265,0.568064746731154,0.8229838658936577,0,277.0767506196456,241,314,-1.0767506196456225,0
Quebec,2015-02-07,65,f,286,2015,747089,6,266,0.6631226582407944,0.7485107481711017,0,276.7834013744216,243,313.02499999999986,9.2165986255784,0
Quebec,2015-02-14,65,f,296,2015,747089,7,267,0.7485107481711013,0.663122658240795,0,276.0332612367589,242,312,19.966738763241096,0
Quebec,2015-02-21,65,f,261,2015,747089,8,268,0.8229838658936572,0.5680647467311546,0,274.8412859052674,242,309,-13.841285905267398,0
Quebec,2015-02-28,65,f,271,2015,747089,9,269,0.8854560256532078,0.46472317204377245,0,273.23080873090186,239,306.02499999999986,-2.230808730901856,0
Quebec,2015-03-07,65,f,281,2015,747089,10,270,0.9350162426854137,0.3546048870425386,0,271.23282796498137,239,306,9.767172035018632,0
Quebec,2015-03-14,65,f,311,2015,747089,11,271,0.9709418174260516,0.23931566428755968,0,268.88508420080586,237.97500000000002,301,42.11491579919414,1
Quebec,2015-03-21,65,f,276,2015,747089,12,272,0.9927088740980539,0.12053668025532378,0,266.230975570483,232,297,9.769024429517003,0
