Region,Date,Age,Sex,Deaths,Year,Exposure,Week,t,sn52,cs52,include,pred,lp,up,excess,exc_reg_pi
Canada,2020-02-22,45,m,436,2020,5442314,8,529,0.8854560256532072,0.46472317204377356,0,460.21781541013365,414,504,-24.217815410133653,0
Canada,2020-02-29,45,m,466,2020,5442314,9,530,0.9350162426854133,0.35460488704253973,0,459.9661921398597,416,509,6.033807860140314,0
Canada,2020-03-07,45,m,506,2020,5442314,10,531,0.9709418174260496,0.23931566428756776,0,459.7147064441594,414,506,46.28529355584061,0
Canada,2020-03-14,45,m,461,2020,5442314,11,532,0.9927088740980538,0.120536680255325,0,459.46335824781744,417,505.02499999999986,1.536641752182561,0
Canada,2020-03-21,45,m,471,2020,5442314,12,533,1,7.839513543536625e-15,0,459.21214747565136,418.9500000000001,502.02499999999986,11.787852524348637,0
Canada,2020-03-28,45,m,436,2020,5442314,13,534,0.992708874098054,-0.12053668025532355,0,458.9610740525289,417,507.02499999999986,-22.961074052528886,0
Canada,2020-04-04,45,m,511,2020,5442314,14,535,0.9709418174260533,-0.23931566428755252,0,458.7101379033521,409,505,52.28986209664788,1
Canada,2020-04-11,45,m,496,2020,5442314,15,536,0.9350162426854138,-0.3546048870425384,0,458.45933895306763,413,505,37.54066104693237,0
Canada,2020-04-18,45,m,456,2020,5442314,16,537,0.8854560256532112,-0.46472317204376595,0,458.2086771266622,414,504,-2.2086771266622236,0
Canada,2020-04-25,45,m,506,2020,5442314,17,538,0.8229838658936615,-0.5680647467311486,0,457.9581523491628,414,501.02499999999986,48.04184765083721,1
Canada,2020-05-02,45,m,541,2020,5442314,18,539,0.7485107481711014,-0.6631226582407949,0,457.70776454564134,417,503,83.29223545435866,1
Canada,2020-05-09,45,m,501,2020,5442314,19,540,0.6631226582408,-0.7485107481710969,0,457.45751364120275,410,504,43.54248635879725,0
Canada,2020-05-16,45,m,461,2020,5442314,20,541,0.5680647467311541,-0.8229838658936575,0,457.20739956100175,413,503.02499999999986,3.7926004389982495,0
Canada,2020-05-23,45,m,526,2020,5442314,21,542,0.464723172043772,-0.885456025653208,0,456.95742223022745,407.975,502,69.04257776977255,1
Canada,2020-05-30,45,m,476,2020,5442314,22,543,0.3546048870425315,-0.9350162426854164,0,456.7075815741132,412,512,19.292418425886808,0
Canada,2020-06-06,45,m,476,2020,5442314,23,544,0.23931566428755918,-0.9709418174260517,0,456.45787751793233,410,504,19.54212248206767,0
Canada,2020-06-13,45,m,456,2020,5442314,24,545,0.12053668025533035,-0.9927088740980531,0,456.20830998699995,410,500,-0.20830998699995007,0
Canada,2020-06-20,45,m,411,2020,5442314,25,546,-9.810403357735087e-16,-1,0,455.95887890666944,411,503.02499999999986,-44.95887890666944,0
Canada,2020-06-27,45,m,406,2020,5442314,26,547,-0.12053668025531819,-0.9927088740980545,0,455.7095842023375,410.975,501,-49.70958420233751,0
Canada,2020-07-04,45,m,426,2020,5442314,27,548,-0.2393156642875611,-0.9709418174260512,0,455.4604257994408,409,503,-29.460425799440827,0
Canada,2020-07-11,45,m,421,2020,5442314,28,549,-0.35460488704253335,-0.9350162426854157,0,455.2114036234576,410.975,506,-34.21140362345761,0
Canada,2020-07-18,45,m,401,2020,5442314,29,550,-0.4647231720437738,-0.8854560256532071,0,454.96251759990366,408.975,500,-53.96251759990366,0
Canada,2020-07-25,45,m,386,2020,5442314,30,551,-0.5680647467311558,-0.8229838658936564,0,454.7137676543419,408.975,501,-68.7137676543419,0
Canada,2020-08-01,45,m,366,2020,5442314,31,552,-0.6631226582407908,-0.748510748171105,0,454.46515371236706,404,500,-88.46515371236706,0
Canada,2014-01-04,65,m,1296,2014,2653837,1,209,0.1205366802553233,0.992708874098054,0,1352.3718200401668,1270,1439,-56.37182004016677,0
Canada,2014-01-11,65,m,1376,2014,2653837,2,210,0.23931566428755918,0.9709418174260517,0,1355.9626282885672,1285,1440,20.037371711432797,0
Canada,2014-01-18,65,m,1246,2014,2653837,3,211,0.35460488704253484,0.9350162426854152,0,1357.9165224659196,1278,1440,-111.91652246591957,0
Canada,2014-01-25,65,m,1291,2014,2653837,4,212,0.4647231720437689,0.8854560256532097,0,1358.182823140792,1279,1439,-67.18282314079192,0
Canada,2014-02-01,65,m,1241,2014,2653837,5,213,0.5680647467311541,0.8229838658936575,0,1356.7416076508973,1273,1442.0749999999996,-115.74160765089732,0
Canada,2014-02-08,65,m,1216,2014,2653837,6,214,0.6631226582407946,0.7485107481711016,0,1353.6042504880907,1266.975,1435,-137.60425048809066,0
Canada,2014-02-15,65,m,1236,2014,2653837,7,215,0.7485107481710991,0.6631226582407975,0,1348.8130972762342,1272,1430,-112.8130972762342,0
Canada,2014-02-22,65,m,1271,2014,2653837,8,216,0.8229838658936554,0.5680647467311574,0,1342.4402869602127,1253,1423.0249999999999,-71.44028696021269,0
Canada,2014-03-01,65,m,1291,2014,2653837,9,217,0.8854560256532079,0.4647231720437722,0,1334.5857776568757,1258.9500000000003,1413,-43.585777656875734,0
Canada,2014-03-08,65,m,1236,2014,2653837,10,218,0.9350162426854138,0.3546048870425384,0,1325.3746684389723,1247,1402,-89.37466843897232,0
Canada,2014-03-15,65,m,1231,2014,2653837,11,219,0.9709418174260525,0.239315664287556,0,1314.9539395398638,1233,1394,-83.95393953986377,0
